watershed,year,plot,species,dbh_in,height_ft,stem_green_kg,top_green_kg,smbranch_green_kg,lgbranch_green_kg,allwoody_green_kg,leaves_green_kg,stem_dry_kg,top_dry_kg,smbranch_dry_kg,lgbranch_dry_kg,allwoody_dry_kg,leaves_dry_kg
7,1992,71,Betula lenta,3.0,44.0,29.2,0.8,3.0,1.7,34.7,1.9,13.6,0.4,1.4,0.9,16.3,0.6
7,1991,54,Liriodendron tulipifera,7.2,58.0,182.7,11.3,12.6,14.3,220.9,13.4,86.7,5.2,5.5,7.5,105.0,4.3
7,1991,64,Liriodendron tulipifera,7.8,50.0,160.6,34.5,32.2,36.9,264.2,27.5,80.5,16.1,14.2,18.7,129.5,7.6
7,1991,66,Liriodendron tulipifera,7.2,60.0,161.8,17.4,17.5,10.2,206.9,11.6,73.9,8.0,7.5,5.2,94.5,3.5
7,1991,70,Liriodendron tulipifera,7.9,57.0,196.4,13.1,17.3,33.1,259.9,22.0,91.5,6.0,7.3,16.0,120.7,6.4
7,1991,72,Liriodendron tulipifera,7.0,51.0,113.5,9.3,9.5,27.4,159.7,14.8,48.5,4.1,4.1,12.9,69.6,4.2
7,1992,71,Liriodendron tulipifera,1.8,26.0,5.1,0.8,0.7,0.8,7.4,0.7,2.2,0.0,0.3,0.3,2.9,0.1
7,1992,71,Liriodendron tulipifera,2.0,28.0,5.9,0.6,0.8,0.5,7.8,0.8,2.7,0.3,0.4,0.2,3.6,0.2
7,1992,71,Liriodendron tulipifera,2.9,33.5,17.8,2.0,2.8,4.0,26.6,3.4,7.4,0.9,1.1,1.7,11.1,0.9
7,1992,71,Liriodendron tulipifera,3.3,37.0,26.8,1.8,1.8,0.9,31.3,2.5,11.1,0.7,0.6,0.3,12.7,0.6
7,1992,71,Liriodendron tulipifera,3.8,37.8,27.7,3.5,5.0,1.5,37.7,4.8,12.2,1.4,1.9,0.7,16.1,1.1
7,1992,71,Liriodendron tulipifera,4.0,40.1,31.6,4.5,4.1,5.5,45.7,4.7,14.1,2.0,1.5,2.7,20.2,1.0
7,1991,54,Prunus serotina,8.3,61.0,221.8,20.7,42.0,112.3,396.8,24.6,130.1,11.0,21.1,63.1,225.2,9.3
7,1991,64,Prunus serotina,9.2,57.0,291.5,23.0,50.5,124.8,489.8,35.8,145.6,12.2,26.8,69.2,253.9,15.0
7,1991,66,Prunus serotina,7.8,57.0,187.4,23.4,27.9,58.8,297.5,15.6,111.4,12.0,14.8,34.4,172.7,6.0
7,1991,70,Prunus serotina,5.5,53.0,81.9,14.3,12.3,11.4,119.9,12.3,47.8,7.5,6.0,6.3,67.6,4.5
7,1991,72,Prunus serotina,7.5,56.0,148.4,24.8,31.0,86.4,290.6,21.2,89.0,13.2,16.2,46.2,164.6,9.2
7,1992,53,Prunus serotina,4.1,47.5,53.5,6.9,8.2,4.9,73.5,4.0,31.4,3.4,3.7,2.5,41.0,1.6
7,1992,64,Prunus serotina,2.3,33.0,15.5,1.6,2.9,2.0,22.0,1.9,8.4,0.5,1.4,1.2,11.4,0.5
7,1992,64,Prunus serotina,2.7,29.0,12.5,1.4,0.7,5.5,20.1,3.9,6.5,0.7,0.3,2.7,10.1,1.2
7,1992,64,Prunus serotina,4.1,52.0,61.8,3.8,8.0,3.0,76.6,4.0,36.3,2.0,4.0,1.6,43.8,1.3
7,1992,71,Prunus serotina,1.9,25.0,4.9,1.2,0.9,1.0,8.0,0.6,2.7,0.6,0.4,0.5,4.3,0.2
7,1992,71,Prunus serotina,2.8,31.0,18.5,2.1,4.0,3.3,27.9,2.9,10.1,1.1,1.9,1.7,14.8,0.9
